<body><p>,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"This report is current as of June 20, 2023 ",,,,,,,,,,,,,,,,,,,,,,,,,,
All Credible Fear Cases - Showing number of cases received and number of cases completed by outcome per semi-monthly period (1st - 15th and 16th - end of month)1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From,,6/1/2022,6/16/2022,7/1/2022,7/16/2022,8/1/2022,8/16/2022,9/1/2022,9/16/2022,10/1/2022,10/16/2022,11/1/2022,11/16/2022,12/1/2022,12/16/2022,1/1/2023,1/16/2023,2/1/2023,2/16/2023,3/1/2023,3/16/2023,4/1/2023,4/16/2023,5/1/2023,5/16/2023,6/1/2023
To,,6/15/2022,6/30/2022,7/15/2022,7/31/2022,8/15/2022,8/31/2022,9/15/2022,9/30/2022,10/15/2022,10/31/2022,11/15/2022,11/30/2022,12/15/2022,12/31/2022,1/15/2023,1/31/2023,2/15/2023,2/28/2023,3/15/2023,3/31/2023,4/15/2023,4/30/2023,5/15/2023,5/31/2023,6/15/2023
Case Receipts,," 3,511 "," 2,712 "," 2,430 "," 3,199 "," 3,511 "," 4,024 "," 3,426 "," 3,809 "," 4,481 "," 5,011 "," 4,154 "," 3,182 "," 2,612 "," 2,388 "," 3,923 "," 6,877 "," 6,298 "," 3,865 "," 4,828 "," 4,965 "," 3,832 "," 3,686 "," 5,886 "," 12,287 "," 7,383 "
All Decisions,," 2,683 "," 3,283 "," 2,818 "," 2,900 "," 2,709 "," 2,812 "," 3,273 "," 3,033 "," 2,296 "," 3,208 "," 4,540 "," 3,431 "," 4,621 "," 3,140 "," 2,541 "," 4,128 "," 4,721 "," 4,349 "," 5,747 "," 5,335 "," 4,454 "," 4,656 "," 4,554 "," 8,125 "," 9,922 "
Fear Established_Persecution (Y),," 1,048 ", 943 , 876 ," 1,102 "," 1,086 "," 1,073 "," 1,143 "," 1,188 ", 815 ," 1,257 "," 2,153 "," 1,698 "," 2,161 "," 1,630 "," 1,249 "," 1,712 "," 1,868 "," 1,766 "," 2,450 "," 2,402 "," 1,971 "," 1,815 "," 1,428 "," 2,460 "," 2,836 "
Fear Established_Torture (Y),, 409 , 493 , 517 , 517 , 385 , 402 , 559 , 458 , 405 , 548 , 896 , 718 ," 1,151 ", 684 , 523 , 907 ," 1,235 "," 1,304 "," 1,729 "," 1,691 "," 1,557 "," 1,425 "," 1,126 "," 1,780 "," 1,969 "
Fear Not Established (N),, 911 , 825 , 852 ," 1,126 "," 1,135 "," 1,219 "," 1,482 "," 1,190 ", 931 ," 1,211 "," 1,333 ", 829 , 893 , 578 , 621 ," 1,289 "," 1,405 "," 1,046 "," 1,202 "," 1,056 ", 770 , 856 ," 1,188 "," 3,102 "," 4,122 "
Administratively Closed,, 315 ," 1,022 ", 573 , 155 , 103 , 118 , 89 , 197 , 145 , 192 , 158 , 186 , 416 , 248 , 148 , 220 , 213 , 233 , 366 , 186 , 156 , 560 , 812 , 783 , 995 
Credible Fear Cases Subject to Third Country Transit Bar - Interim Final Rule2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From,,6/1/2022,6/16/2022,7/1/2022,7/16/2022,8/1/2022,8/16/2022,9/1/2022,9/16/2022,10/1/2022,10/16/2022,11/1/2022,11/16/2022,12/1/2022,12/16/2022,1/1/2023,1/16/2023,2/1/2023,2/16/2023,3/1/2023,3/16/2023,4/1/2023,4/16/2023,5/1/2023,5/16/2023,6/1/2023
To,,6/15/2022,6/30/2022,7/15/2022,7/31/2022,8/15/2022,8/31/2022,9/15/2022,9/30/2022,10/15/2022,10/31/2022,11/15/2022,11/30/2022,12/15/2022,12/31/2022,1/15/2023,1/31/2023,2/15/2023,2/28/2023,3/15/2023,3/31/2023,4/15/2023,4/30/2023,5/15/2023,5/31/2023,6/15/2023
Subject to Bar under 8 CFR 208.13(c)(4) - No Exception Established,Case Receipts, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,All Decisions, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,Fear Established_Persecution (Y), - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,Fear Established_Torture (Y), - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,Fear Not Established (N), - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,Administratively Closed, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Subject to Bar under 8 CFR 208.13(c)(4) - Exception Established,Case Receipts, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,All Decisions, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,Fear Established_Persecution (Y), - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,Fear Established_Torture (Y), - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,Fear Not Established (N), - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,Administratively Closed, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Credible Fear Cases at Family Residential Centers3,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From,,6/1/2022,6/16/2022,7/1/2022,7/16/2022,8/1/2022,8/16/2022,9/1/2022,9/16/2022,10/1/2022,10/16/2022,11/1/2022,11/16/2022,12/1/2022,12/16/2022,1/1/2023,1/16/2023,2/1/2023,2/16/2023,3/1/2023,3/16/2023,4/1/2023,4/16/2023,5/1/2023,5/16/2023,6/1/2023
To,,6/15/2022,6/30/2022,7/15/2022,7/31/2022,8/15/2022,8/31/2022,9/15/2022,9/30/2022,10/15/2022,10/31/2022,11/15/2022,11/30/2022,12/15/2022,12/31/2022,1/15/2023,1/31/2023,2/15/2023,2/28/2023,3/15/2023,3/31/2023,4/15/2023,4/30/2023,5/15/2023,5/31/2023,6/15/2023
Case Receipts,, 248 , 140 , 137 , 500 , 336 , 599 , 513 , 859 ," 1,248 ", 846 , 760 , 720 , 528 , 378 , 248 ," 1,312 "," 1,276 ", 593 , 653 , 631 , 571 , 662 , 500 , 945 , 441 
All Decisions,, 198 , 133 , 239 , 185 , 344 , 268 , 518 , 438 , 506 , 658 ," 1,090 ", 658 ," 1,030 ", 710 , 225 , 505 , 862 , 873 ," 1,029 ", 759 , 779 , 779 , 392 , 732 , 680 
Fear Established_Persecution (Y),, 63 , 60 , 87 , 74 , 140 , 103 , 142 , 172 , 191 , 263 , 621 , 414 , 724 , 497 , 163 , 202 , 391 , 473 , 646 , 532 , 497 , 483 , 184 , 332 , 222 
Fear Established_Torture (Y),, 33 , 22 , 64 , 36 , 50 , 37 , 79 , 50 , 95 , 144 , 217 , 115 , 206 , 136 , 39 , 103 , 219 , 251 , 275 , 168 , 207 , 203 , 102 , 145 , 123 
Fear Not Established (N),, 95 , 48 , 88 , 73 , 150 , 128 , 293 , 210 , 214 , 239 , 238 , 113 , 84 , 69 , 17 , 190 , 235 , 134 , 94 , 47 , 67 , 52 , 77 , 201 , 271 
Administratively Closed,, 7 , 3 ,, 2 , 4 ,, 4 , 6 , 6 , 12 , 14 , 16 , 16 , 8 , 6 , 10 , 17 , 15 , 14 , 12 , 8 , 41 , 29 , 54 , 64 
All Reasonable Fear Cases,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From,,6/1/2022,6/16/2022,7/1/2022,7/16/2022,8/1/2022,8/16/2022,9/1/2022,9/16/2022,10/1/2022,10/16/2022,11/1/2022,11/16/2022,12/1/2022,12/16/2022,1/1/2023,1/16/2023,2/1/2023,2/16/2023,3/1/2023,3/16/2023,4/1/2023,4/16/2023,5/1/2023,5/16/2023,6/1/2023
To,,6/15/2022,6/30/2022,7/15/2022,7/31/2022,8/15/2022,8/31/2022,9/15/2022,9/30/2022,10/15/2022,10/31/2022,11/15/2022,11/30/2022,12/15/2022,12/31/2022,1/15/2023,1/31/2023,2/15/2023,2/28/2023,3/15/2023,3/31/2023,4/15/2023,4/30/2023,5/15/2023,5/31/2023,6/15/2023
Case Receipts,, 375 , 267 , 289 , 306 , 324 , 422 , 328 , 469 , 310 , 353 , 366 , 342 , 386 , 283 , 390 , 413 , 390 , 301 , 406 , 472 , 360 , 350 , 370 , 424 , 620 
All Decisions,, 334 , 290 , 238 , 253 , 289 , 298 , 293 , 397 , 305 , 339 , 365 , 323 , 398 , 293 , 287 , 425 , 360 , 273 , 385 , 426 , 351 , 325 , 385 , 326 , 544 
Fear Established_Persecution (Y),, 68 , 60 , 44 , 57 , 56 , 47 , 67 , 63 , 57 , 65 , 104 , 64 , 98 , 56 , 70 , 87 , 56 , 35 , 65 , 70 , 62 , 54 , 80 , 48 , 52 
Fear Established_Torture (Y),, 38 , 40 , 39 , 41 , 47 , 31 , 46 , 58 , 47 , 42 , 48 , 47 , 62 , 43 , 38 , 83 , 68 , 62 , 67 , 67 , 52 , 56 , 65 , 51 , 89 
Fear Not Established (N),, 180 , 130 , 105 , 118 , 132 , 153 , 124 , 193 , 139 , 144 , 145 , 128 , 162 , 128 , 128 , 171 , 162 , 120 , 159 , 169 , 154 , 139 , 162 , 155 , 268 
Administratively Closed,, 48 , 60 , 50 , 37 , 54 , 67 , 56 , 83 , 62 , 88 , 68 , 84 , 76 , 66 , 51 , 84 , 74 , 56 , 94 , 120 , 83 , 76 , 78 , 72 , 135 
Reasonable Fear Cases at Family Residential Centers,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From,,6/1/2022,6/16/2022,7/1/2022,7/16/2022,8/1/2022,8/16/2022,9/1/2022,9/16/2022,10/1/2022,10/16/2022,11/1/2022,11/16/2022,12/1/2022,12/16/2022,1/1/2023,1/16/2023,2/1/2023,2/16/2023,3/1/2023,3/16/2023,4/1/2023,4/16/2023,5/1/2023,5/16/2023,6/1/2023
To,,6/15/2022,6/30/2022,7/15/2022,7/31/2022,8/15/2022,8/31/2022,9/15/2022,9/30/2022,10/15/2022,10/31/2022,11/15/2022,11/30/2022,12/15/2022,12/31/2022,1/15/2023,1/31/2023,2/15/2023,2/28/2023,3/15/2023,3/31/2023,4/15/2023,4/30/2023,5/15/2023,5/31/2023,6/15/2023
Case Receipts,, 3 , 5 , 11 , 5 , 7 , 12 , 10 , 24 , 27 , 24 , 22 , 27 , 24 , 11 , 23 , 10 , 10 , 15 , 8 , 8 , 8 , 2 , 14 , 27 , 155 
All Decisions,, 3 , 4 , 7 , 6 , 2 , 6 , 3 , 19 , 19 , 32 , 16 , 25 , 28 , 12 , 23 , 8 , 12 , 11 , 12 , 5 , 10 , 5 , 9 , 16 , 127 
Fear Established_Persecution (Y),, 1 , 1 , 2 , 3 , 1 , 2 , 2 , 8 , 5 , 10 , 11 , 11 , 18 , 5 , 11 , 3 , 4 , 1 , 3 , 3 , 4 , 2 , 2 , 5 , 10 
Fear Established_Torture (Y),,,, 2 , 1 ,, 1 ,, 4 , 4 , 2 ,, 1 , 3 , 2 ,, 2 , 1 , 2 , 2 , 1 , 1 , 1 , 3 , 3 , 22 
Fear Not Established (N),, 2 , 3 , 3 , 2 , 1 , 3 , 1 , 7 , 9 , 18 , 5 , 11 , 7 , 5 , 12 , 3 , 7 , 8 , 7 , 1 , 5 , 2 , 4 , 6 , 66 
Administratively Closed,,,,,,,,,, 1 , 2 ,, 2 ,,,,,,,,,,,, 2 , 29 
Credible Fear Cases Disaggregated by Adjudicator DHS Component and Occupational Series,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Adjudicator Component and Occupational Series,From,6/1/2022,6/16/2022,7/1/2022,7/16/2022,8/1/2022,8/16/2022,9/1/2022,9/16/2022,10/1/2022,10/16/2022,11/1/2022,11/16/2022,12/1/2022,12/16/2022,1/1/2023,1/16/2023,2/1/2023,2/16/2023,3/1/2023,3/16/2023,4/1/2023,4/16/2023,5/1/2023,5/16/2023,6/1/2023
,To,6/15/2022,6/30/2022,7/15/2022,7/31/2022,8/15/2022,8/31/2022,9/15/2022,9/30/2022,10/15/2022,10/31/2022,11/15/2022,11/30/2022,12/15/2022,12/31/2022,1/15/2023,1/31/2023,2/15/2023,2/28/2023,3/15/2023,3/31/2023,4/15/2023,4/30/2023,5/15/2023,5/31/2023,6/15/2023
"USCIS: GS-0930, GS-1801",All Decisions," 2,683 "," 3,283 "," 2,818 "," 2,900 "," 2,709 "," 2,812 "," 3,273 "," 3,033 "," 2,296 "," 3,208 "," 4,540 "," 3,431 "," 4,621 "," 3,140 "," 2,541 "," 4,128 "," 4,721 "," 4,349 "," 5,747 "," 5,335 "," 4,454 "," 4,656 "," 4,554 "," 8,125 "," 9,922 "
,Fear Established_Persecution (Y)," 1,048 ", 943 , 876 ," 1,102 "," 1,086 "," 1,073 "," 1,143 "," 1,188 ", 815 ," 1,257 "," 2,153 "," 1,698 "," 2,161 "," 1,630 "," 1,249 "," 1,712 "," 1,868 "," 1,766 "," 2,450 "," 2,402 "," 1,971 "," 1,815 "," 1,428 "," 2,460 "," 2,836 "
,Fear Established_Torture (Y), 409 , 493 , 517 , 517 , 385 , 402 , 559 , 458 , 405 , 548 , 896 , 718 ," 1,151 ", 684 , 523 , 907 ," 1,235 "," 1,304 "," 1,729 "," 1,691 "," 1,557 "," 1,425 "," 1,126 "," 1,780 "," 1,969 "
,Fear Not Established (N), 911 , 825 , 852 ," 1,126 "," 1,135 "," 1,219 "," 1,482 "," 1,190 ", 931 ," 1,211 "," 1,333 ", 829 , 893 , 578 , 621 ," 1,289 "," 1,405 "," 1,046 "," 1,202 "," 1,056 ", 770 , 856 ," 1,188 "," 3,102 "," 4,122 "
,Administratively Closed, 315 ," 1,022 ", 573 , 155 , 103 , 118 , 89 , 197 , 145 , 192 , 158 , 186 , 416 , 248 , 148 , 220 , 213 , 233 , 366 , 186 , 156 , 560 , 812 , 783 , 995 
"USCBP: GS-1895, GS-1896",All Decisions,,,,,,,,,,,,,,,,,,,,,,,,,
,Fear Established_Persecution (Y),,,,,,,,,,,,,,,,,,,,,,,,,
,Fear Established_Torture (Y),,,,,,,,,,,,,,,,,,,,,,,,,
,Fear Not Established (N),,,,,,,,,,,,,,,,,,,,,,,,,
,Administratively Closed, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Reasonable Fear Cases Disaggregated by Adjudicator DHS Component and Occupational Series,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Adjudicator Component and Occupational Series,From,6/1/2022,6/16/2022,7/1/2022,7/16/2022,8/1/2022,8/16/2022,9/1/2022,9/16/2022,10/1/2022,10/16/2022,11/1/2022,11/16/2022,12/1/2022,12/16/2022,1/1/2023,1/16/2023,2/1/2023,2/16/2023,3/1/2023,3/16/2023,4/1/2023,4/16/2023,5/1/2023,5/16/2023,6/1/2023
,To,6/15/2022,6/30/2022,7/15/2022,7/31/2022,8/15/2022,8/31/2022,9/15/2022,9/30/2022,10/15/2022,10/31/2022,11/15/2022,11/30/2022,12/15/2022,12/31/2022,1/15/2023,1/31/2023,2/15/2023,2/28/2023,3/15/2023,3/31/2023,4/15/2023,4/30/2023,5/15/2023,5/31/2023,6/15/2023
"USCIS: GS-0930, GS-1801",All Decisions, 334 , 290 , 238 , 253 , 289 , 298 , 293 , 397 , 305 , 339 , 365 , 323 , 398 , 293 , 287 , 425 , 360 , 273 , 385 , 426 , 351 , 325 , 385 , 326 , 544 
,Fear Established_Persecution (Y), 68 , 60 , 44 , 58 , 57 , 48 , 68 , 64 , 60 , 65 , 105 , 64 , 100 , 57 , 71 , 90 , 57 , 37 , 65 , 70 , 63 , 54 , 81 , 49 , 53 
,Fear Established_Torture (Y), 38 , 40 , 39 , 41 , 47 , 31 , 46 , 58 , 47 , 42 , 48 , 47 , 62 , 43 , 38 , 83 , 68 , 62 , 67 , 67 , 52 , 56 , 65 , 51 , 89 
,Fear Not Established (N), 184 , 134 , 111 , 125 , 137 , 157 , 132 , 201 , 146 , 149 , 157 , 137 , 174 , 135 , 138 , 184 , 173 , 128 , 166 , 177 , 164 , 150 , 169 , 164 , 276 
,Administratively Closed, 48 , 60 , 50 , 37 , 54 , 67 , 56 , 83 , 62 , 88 , 68 , 84 , 76 , 66 , 51 , 84 , 74 , 56 , 94 , 120 , 83 , 76 , 78 , 72 , 135 
"USCBP: GS-1895, GS-18964",All Decisions,,,,,,,,,,,,,,,,,,,,,,,,,
,Fear Established_Persecution (Y),,,,,,,,,,,,,,,,,,,,,,,,,
,Fear Established_Torture (Y),,,,,,,,,,,,,,,,,,,,,,,,,
,Fear Not Established (N), - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,Administratively Closed, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Key,,,,,,,,,,,,,,,,,,,,,,,,,,
"All Refugee Officers, occupational series 1801, CBP Officers, occupational series 1895, and Border Patrol Agents, occupational series 1896, who conduct credible fear and reasonable fear screening determinations, have been trained in accordance with the regulatory and statutory requirements for Asylum Officers, occupational series 0930.  Additionally, all credible fear and reasonable fear screening determinations are reviewed by either a Supervisory Asylum Officer, occupational series 0930 or one of a small number of Supervisory Refugee Officers, occupational series 1801, serving in the capacity of Supervisory Asylum Officers. The Supervisory Refugee Officers are either former asylum officers or have been trained and have experience consistent with the regulatory and statutory requirements to conduct reviews of these cases.",,,,,,,,,,,,,,,,,,,,,,,,,,
- Represents 0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information on our reports, visit the Understanding Our Data page.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 Case receipts are grouped by date of receipt, decisions are grouped by date of completion",,,,,,,,,,,,,,,,,,,,,,,,,,
"2 Case receipts and completions subject to the Third Country Transit Bar - Interim Final Rule for June 2020 do not include any cases affected by the vacatur of the Third-Country Transit Bar on June 30, 2020 in CAIR v. Trump, 19-cv-02117, June 30, 2020 (D.D.C)",,,,,,,,,,,,,,,,,,,,,,,,,,
3 Only single adults have been screened at the Family Residential Centers.,,,,,,,,,,,,,,,,,,,,,,,,,,
4 USCBP adjudicators have not been assigned any reasonable fear cases to date,,,,,,,,,,,,,,,,,,,,,,,,,,</p></body>