<body><p>"Number of Form I-130, Petition for Alien Relative",,,,,,
Approved Family-Based Petitions Awaiting Visa Availability,,,,,,
By Preference Category and Beneficiary's Country of Birth,,,,,,
As of September 2023,,,,,,
,,                  Family-Based Preference Category,,,,
Beneficiary's Country of Birth,"F1
Unmarried
Sons and
Daughters of
USC","F2A
Spouses and
Children of
LPR","F2B
Unmarried
Sons and
Daughters
(age 21+)
of LPR","F3
Married Sons
and Daughters
of USC","F4
Brothers and
Sisters of Adult
USC",TOTAL
TOTAL,"117,142","379,902","189,862","149,745","849,350","1,686,001"
China,981,"12,196","6,715","4,030","42,921","66,843"
India,756,"9,614","2,597","7,951","67,826","88,744"
Mexico,"47,045","98,639","48,007","55,677","341,281","590,649"
Philippines,"6,567","12,580","22,680","16,646","19,361","77,834"
Rest of the World,"61,793","246,873","109,863","65,441","377,961","861,931"
Table Key:,,,,,,
- Represents zero or rounds to 0.0,,,,,,
Notes:,,,,,,
1) This report reflects the most up-to-date estimate available at the time the database is queried.,,,,,,
2) Counts may differ from those reported in previous periods due to system updates and post-adjudicative outcomes.,,,,,,
3) Petitions received in one reporting period may be approved or denied in subsequent reporting periods.,,,,,,
4) The counts of approved petitions represent only primary beneficiaries. Dependents are not included.,,,,,,
"5) For details on Green Card Eligibility Categories, see https://www.uscis.gov/greencard/eligibility-categories.",,,,,,
"6) The priority date is based on September 2023 Visa Bulletin Final Action Dates chart
",,,,,,
   https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin.html,,,,,,
"7) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms.",,,,,,
Sources:,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,
"CLAIMS3, queried 09/2023, TRK 13044",,,,,,</p></body>